id,name,parent_classification_id
1,Accounting,NULL
2,Analysis & Reporting,1
3,Accounts Officer/Clerks,1
4,Accounts Payable,1
5,Accounts Receivable/Credit Control,1
6,Assistant Accountants,1
7,Audit - External,1
8,Audit - Internal,1
9,Bookkeeping & Small Practice Accounting,1
10,Business Services & Corporate Advisory,1
11,Company Secretaries,1
12,Compliance & Risk,1
13,Cost Accounting,1
14,Financial Accounting & Reporting,1
15,Financial Managers & Controllers,1
16,Forensic Accounting & Investigation,1
17,Insolvency & Corporate Recover,1
18,Inventory & Fixed Assets,1
19,Management,1
20,Management Accounting & Budgeting,1
21,Payroll,1
22,Strategy & Planning,1
23,Systems Accounting & IT Audit,1
24,Taxation,1
25,Treasury,1
26,Other,1
27,Administration & Office Support,NULL
28,Administrative Assistants,27
29,Client & Sales Administration,27
30,Contracts Administration,27
31,Data Entry & Word Processing,27
32,Office Management,27
33,"PA, EA & Secretarial",27
34,Receptionists,27
35,Records Management & Document Control,27
36,Other,27
37,"Advertising, Arts & Media",NULL
38,Agency Account Management,37
39,Art Direction,37
40,Editing & Publishing,37
41,Event Management,37
42,Journalism & Writing,37
43,Management,37
44,"Media Strategy, Planning & Buying",37
45,Performing Arts,37
46,Photography,37
47,Programming & Production,37
48,Promotions,37
49,Other,37
50,Banking & Financial Services,NULL
51,Account & Relationship Management,50
52,Analysis & Reporting,50
53,Banking - Business,50
54,Banking - Corporate & Institutional,50
55,Banking - Retail/Branch,50
56,Client Services,50
57,Compliance & Risk,50
58,Corporate Finance & Investment Banking,50
59,Credit,50
60,Financial Planning,50
61,Funds Management,50
62,Management,50
63,Mortgages,50
64,Settlements,50
65,Stockbroking & Trading,50
66,Treasury,50
67,Other,50
68,Call Centre & Customer Service,NULL
69,Collections,68
70,Customer Service - Call Centre,68
71,Customer Service - Customer Facing,68
72,Management & Support,68
73,Sales - Inbound,68
74,Sales - Outbound,68
75,Supervisors/Team Leaders,68
76,Other,68
77,CEO & General Management,NULL
78,Board Appointments,77
79,CEO,77
80,COO & MD,77
81,General/Business Unit Manager,77
82,Other,77
83,Community Services & Development,NULL
84,Aged & Disability Support,83
85,"Child Welfare, Youth & Family Services",83
86,Community Development,83
87,Employment Services,83
88,Fundraising,83
89,Housing & Homelessness Services,83
90,Indigenous & Multicultural Services,83
